Status,Guidance,Ship Name,Manufacturer,Primary Category,Subcategories,Career,Role,Crew Min,Crew Max,"Crew
Compliment",Commander,Pilot,Copilot,Chief Engineer,Engineering Assistant,Primary Turret Gunner,Turret Gunner,Remote Turret Gunner,Marine Lead,Marine Rifleman,Marine Medic,Mining/Salvage/Refueling: Operator,Cargo Logistics,Scanning Operator,Torpedo Operator,Hangar Operations,Doctor (Infirmary),Source Hints,Variants,Notes,Filter Ship Name,Filter Manufacturer,Filter Primary Category,Filter Subcategories,Filter Career,Filter Role,Filter Use Ship?,Filter Review Status,Filter Guidance,Filter Variants,Ship Block,Filter Crew Min,Filter Crew Max
,Multi-crew: review preserved positions.,C1 Spirit,Crusader Industries,medium,cargo_transport,Transporter,Light Freight,,,Full,,1,,,,,,1,,,,,,,,,,,"C1 Spirit, C1 Spirit Wikelo Special",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,C2 Hercules Starlifter,Crusader Industries,large,"cargo_transport, mining",Transporter,Medium Freight,,,Skeleton,,1,,,,,,,,,,,,,,,,"Crew 2-2; 3 remote turret source hints; 696 SCU cargo; Tags: cargo_transport, mining",C2 Hercules Starlifter,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,C2 Hercules Starlifter,Crusader Industries,large,"cargo_transport, mining",Transporter,Medium Freight,,,Standard,,1,,,,,,,,,,,,,,,,,C2 Hercules Starlifter,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,C2 Hercules Starlifter,Crusader Industries,large,"cargo_transport, mining",Transporter,Medium Freight,,,Full,,1,,1,,,,1,,,,,1,,,,,,C2 Hercules Starlifter,,,,,,,,,,,,,,
,Small: verify added positions.,C8 & C8X Pisces,Anvil Aerospace,small,exploration,Exploration,Pathfinder,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 4 SCU cargo; Tags: exploration,C8 Pisces,,,,,,,,,,,,,,
,Small: verify added positions.,C8 & C8X Pisces,Anvil Aerospace,small,exploration,Exploration,Pathfinder,,,Standard,,1,,,,,,,,,,,,,,,,,C8 Pisces,,,,,,,,,,,,,,
,Small: verify added positions.,C8 & C8X Pisces,Anvil Aerospace,small,exploration,Exploration,Pathfinder,,,Full,,1,,,,,,,,,,,,,,,,,C8 Pisces,,,,,,,,,,,,,,
,Small: verify added positions.,C8R Pisces Rescue,Anvil Aerospace,small,medical,Support,Medical,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; Medical tier T3; Tags: medical,C8R Pisces Rescue,,,,,,,,,,,,,,
,Small: verify added positions.,C8R Pisces Rescue,Anvil Aerospace,small,medical,Support,Medical,,,Standard,,1,,,,,,,,,,,,,,,,,C8R Pisces Rescue,,,,,,,,,,,,,,
,Small: verify added positions.,C8R Pisces Rescue,Anvil Aerospace,small,medical,Support,Medical,,,Full,,1,,,,,,,,,,,,,,,1,,C8R Pisces Rescue,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Carrack,Anvil Aerospace,large,"repair, medical, exploration",Exploration,Expedition,,,Skeleton,,1,,,,,,,,,,,,,,,,"Crew 6-6; 3 manned turret source hints; 1 remote turret source hints; 456 SCU cargo; Medical tier T2; Tags: repair, medical, exploration","Carrack, Carrack, Carrack Expedition",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Carrack,Anvil Aerospace,large,"repair, medical, exploration",Exploration,Expedition,,,Standard,,1,,1,,,3,,,,,,,,,,1,,"Carrack, Carrack, Carrack Expedition",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Carrack,Anvil Aerospace,large,"repair, medical, exploration",Exploration,Expedition,,,Full,1,1,1,1,2,,3,1,,,,,1,1,,,1,,"Carrack, Carrack, Carrack Expedition",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Caterpillar,Drake Interplanetary,large,cargo_transport,Transporter,Medium Freight,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 2 manned turret source hints; 576 SCU cargo; Tags: cargo_transport,"Caterpillar, Caterpillar Pirate",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Caterpillar,Drake Interplanetary,large,cargo_transport,Transporter,Medium Freight,,,Standard,,1,,,,,2,,,,,,,,,,,,"Caterpillar, Caterpillar Pirate",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Caterpillar,Drake Interplanetary,large,cargo_transport,Transporter,Medium Freight,,,Full,,1,,1,,,3,,,,,,1,,,,,,"Caterpillar, Caterpillar Pirate",,,,,,,,,,,,,,
,Ground: likely pilot + turret; positions preserved.,Centurion,Anvil Aerospace,ground_vehicle,,Combat,Anti-Air,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 2-2; 2 remote turret source hints,Centurion,,,,,,,,,,,,,,
,Ground: likely pilot + turret; positions preserved.,Centurion,Anvil Aerospace,ground_vehicle,,Combat,Anti-Air,,,Standard,,1,,,,,,,,,,,,,,,,,Centurion,,,,,,,,,,,,,,
,Ground: likely pilot + turret; positions preserved.,Centurion,Anvil Aerospace,ground_vehicle,,Combat,Anti-Air,,,Full,,1,,,,1,,,,,,,,,,,,,Centurion,,,,,,,,,,,,,,
,Small: verify added positions.,Clipper,Drake Interplanetary,small,exploration,Exploration,Generalist,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 12 SCU cargo; Medical tier T3; Tags: exploration,Clipper,,,,,,,,,,,,,,
,Small: verify added positions.,Clipper,Drake Interplanetary,small,exploration,Exploration,Generalist,,,Standard,,1,,,,,,,,,,,,,,,,,Clipper,,,,,,,,,,,,,,
,Small: verify added positions.,Clipper,Drake Interplanetary,small,exploration,Exploration,Generalist,,,Full,,1,,,,,,,,,,,,,,,,,Clipper,,,,,,,,,,,,,,
Needs Review,Small: verify added positions.,Command Module,Drake Interplanetary,small,cargo_transport,Transport,Transport,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 2-2; 1 remote turret source hints; Tags: cargo_transport,Command Module,,,,,,,,,,,,,,
Needs Review,Small: verify added positions.,Command Module,Drake Interplanetary,small,cargo_transport,Transport,Transport,,,Standard,,1,,,,,,,,,,,,,,,,,Command Module,,,,,,,,,,,,,,
Needs Review,Small: verify added positions.,Command Module,Drake Interplanetary,small,cargo_transport,Transport,Transport,,,Full,,1,,,,,,1,,,,,,,,,,,Command Module,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Constellation Andromeda,Roberts Space Industries,large,cargo_transport,Multi-Role,Medium Freight / Gun Ship,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 2 manned turret source hints; 96 SCU cargo; Tags: cargo_transport,Constellation Andromeda,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Constellation Andromeda,Roberts Space Industries,large,cargo_transport,Multi-Role,Medium Freight / Gun Ship,,,Standard,,1,,,,,1,,,,,,,,,,,,Constellation Andromeda,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Constellation Andromeda,Roberts Space Industries,large,cargo_transport,Multi-Role,Medium Freight / Gun Ship,,,Full,,1,,,,,2,,,,,,,,,,,,Constellation Andromeda,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Constellation Aquila,Roberts Space Industries,large,exploration,Exploration,Expedition,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 2 manned turret source hints; 96 SCU cargo; Tags: exploration,Constellation Aquila,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Constellation Aquila,Roberts Space Industries,large,exploration,Exploration,Expedition,,,Standard,,1,,,,,1,,,,,,,,,,,,Constellation Aquila,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Constellation Aquila,Roberts Space Industries,large,exploration,Exploration,Expedition,,,Full,,1,,,,,1,,,,,,,1,,,,,Constellation Aquila,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Constellation Phoenix,Roberts Space Industries,large,exploration,Exploration,Luxury Touring,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 2 manned turret source hints; 80 SCU cargo; Tags: exploration,Constellation Phoenix,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Constellation Phoenix,Roberts Space Industries,large,exploration,Exploration,Luxury Touring,,,Standard,,1,,,,,1,,,,,,,,,,,,Constellation Phoenix,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Constellation Phoenix,Roberts Space Industries,large,exploration,Exploration,Luxury Touring,,,Full,,1,,,,,2,,,,,,,,,,,,Constellation Phoenix,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Constellation Taurus,Roberts Space Industries,large,cargo_transport,Transporter,Medium Freight,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 2 manned turret source hints; 174 SCU cargo; Tags: cargo_transport,"Constellation Taurus, Constellation Taurus Wikelo War Special",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Constellation Taurus,Roberts Space Industries,large,cargo_transport,Transporter,Medium Freight,,,Standard,,1,,,,,,,,,,,,,,,,,"Constellation Taurus, Constellation Taurus Wikelo War Special",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Constellation Taurus,Roberts Space Industries,large,cargo_transport,Transporter,Medium Freight,,,Full,,1,,,,,1,,,,,,1,,,,,,"Constellation Taurus, Constellation Taurus Wikelo War Special",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Corsair,Drake Interplanetary,large,exploration,Exploration,Expedition,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 4-4; 2 manned turret source hints; 72 SCU cargo; Tags: exploration,Corsair,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Corsair,Drake Interplanetary,large,exploration,Exploration,Expedition,,,Standard,,1,1,,,,,,,,,,,,,,,,Corsair,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Corsair,Drake Interplanetary,large,exploration,Exploration,Expedition,,,Full,,1,,1,,,2,,,,,,,,,,,,Corsair,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,CSV-SM,Argo Astronautics,ground_vehicle,cargo_transport,Transporter,Light Freight,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 4 SCU cargo; Tags: cargo_transport,CSV-SM,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,CSV-SM,Argo Astronautics,ground_vehicle,cargo_transport,Transporter,Light Freight,,,Standard,,1,,,,,,,,,,,,,,,,,CSV-SM,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,CSV-SM,Argo Astronautics,ground_vehicle,cargo_transport,Transporter,Light Freight,,,Full,,1,,,,,,,,,,,,,,,,,CSV-SM,,,,,,,,,,,,,,
,Fighter: review turret; positions preserved.,Cutlass Black,Drake Interplanetary,medium_fighter,cargo_transport,Multi-Role,Light Freight / Medium Fighter,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 3-3; 1 manned turret source hints; 46 SCU cargo; Tags: cargo_transport,"Cutlass Black, Cutlass Black",,,,,,,,,,,,,,
,Fighter: review turret; positions preserved.,Cutlass Black,Drake Interplanetary,medium_fighter,cargo_transport,Multi-Role,Light Freight / Medium Fighter,,,Standard,,1,,,,,,,,,,,,,,,,,"Cutlass Black, Cutlass Black",,,,,,,,,,,,,,
,Fighter: review turret; positions preserved.,Cutlass Black,Drake Interplanetary,medium_fighter,cargo_transport,Multi-Role,Light Freight / Medium Fighter,,,Full,,1,,,,,1,,,,,,,,,,,,"Cutlass Black, Cutlass Black",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Cutlass Blue,Drake Interplanetary,medium,"cargo_transport, interdiction",Combat,Interdiction,,,Skeleton,,1,,,,,,,,,,,,,,,,"Crew 3-3; 1 manned turret source hints; 12 SCU cargo; Tags: cargo_transport, interdiction","Cutlass Blue, Cutlass Blue",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Cutlass Blue,Drake Interplanetary,medium,"cargo_transport, interdiction",Combat,Interdiction,,,Standard,,1,,,,,,,,,,,,,,,,,"Cutlass Blue, Cutlass Blue",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Cutlass Blue,Drake Interplanetary,medium,"cargo_transport, interdiction",Combat,Interdiction,,,Full,,1,,,,,1,,,,,,,,,,,,"Cutlass Blue, Cutlass Blue",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Cutlass Red,Drake Interplanetary,medium,"scanning, cargo_transport, medical",Support,Medical,,,Skeleton,,1,,,,,,,,,,,,,,,,"Crew 2-2; 12 SCU cargo; Tags: scanning, cargo_transport, medical","Cutlass Red, Cutlass Red",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Cutlass Red,Drake Interplanetary,medium,"scanning, cargo_transport, medical",Support,Medical,,,Standard,,1,,,,,,,,,,,,,,,,,"Cutlass Red, Cutlass Red",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Cutlass Red,Drake Interplanetary,medium,"scanning, cargo_transport, medical",Support,Medical,,,Full,,1,,,,,,,,,,,,,,,1,,"Cutlass Red, Cutlass Red",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Cutlass Steel,Drake Interplanetary,medium,troop_transport,Combat,Dropship,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 3-3; 1 manned turret source hints; 1 remote turret source hints; Tags: troop_transport,Cutlass Steel,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Cutlass Steel,Drake Interplanetary,medium,troop_transport,Combat,Dropship,,,Standard,,1,,,,,,,,,,,,,,,,,Cutlass Steel,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Cutlass Steel,Drake Interplanetary,medium,troop_transport,Combat,Dropship,,,Full,,1,,1,,1,3,1,1,6,1,,,,,,,,Cutlass Steel,,,,,,,,,,,,,,
,Small: verify added positions.,Cutter,Drake Interplanetary,small,"cargo_transport, exploration",Exploration,Starter / Pathfinder,,,Skeleton,,1,,,,,,,,,,,,,,,,"Crew 1-1; 4 SCU cargo; Tags: cargo_transport, exploration","Cutter, Cutter Rambler, Cutter Scout",,,,,,,,,,,,,,
,Small: verify added positions.,Cutter,Drake Interplanetary,small,"cargo_transport, exploration",Exploration,Starter / Pathfinder,,,Standard,,1,,,,,,,,,,,,,,,,,"Cutter, Cutter Rambler, Cutter Scout",,,,,,,,,,,,,,
,Small: verify added positions.,Cutter,Drake Interplanetary,small,"cargo_transport, exploration",Exploration,Starter / Pathfinder,,,Full,,1,,,,,,,,,,,,,,,,,"Cutter, Cutter Rambler, Cutter Scout",,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,Cyclone,Tumbril Land Systems,ground_vehicle,"scanning, cargo_transport, exploration",Combat,Passenger,,,Skeleton,,1,,,,,,,,,,,,,,,,"Crew 1-1; 1 SCU cargo; Tags: scanning, cargo_transport, exploration",Cyclone,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,Cyclone,Tumbril Land Systems,ground_vehicle,"scanning, cargo_transport, exploration",Combat,Passenger,,,Standard,,1,,,,,,,,,,,,,,,,,Cyclone,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,Cyclone,Tumbril Land Systems,ground_vehicle,"scanning, cargo_transport, exploration",Combat,Passenger,,,Full,,1,,,,,,,,,,,,,,,,,Cyclone,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,Cyclone AA,Tumbril Land Systems,ground_vehicle,,Combat,Anti-Air,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1,Cyclone AA,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,Cyclone AA,Tumbril Land Systems,ground_vehicle,,Combat,Anti-Air,,,Standard,,1,,,,,,,,,,,,,,,,,Cyclone AA,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,Cyclone AA,Tumbril Land Systems,ground_vehicle,,Combat,Anti-Air,,,Full,,1,,,,,,,,,,,,,,,,,Cyclone AA,,,,,,,,,,,,,,
,Ground: likely pilot + turret; positions preserved.,Cyclone MT,Tumbril Land Systems,ground_vehicle,,Combat,Anti-Air,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 1 manned turret source hints,Cyclone MT,,,,,,,,,,,,,,
,Ground: likely pilot + turret; positions preserved.,Cyclone MT,Tumbril Land Systems,ground_vehicle,,Combat,Anti-Air,,,Standard,,1,,,,,1,,,,,,,,,,,,Cyclone MT,,,,,,,,,,,,,,
,Ground: likely pilot + turret; positions preserved.,Cyclone MT,Tumbril Land Systems,ground_vehicle,,Combat,Anti-Air,,,Full,,1,,,,,1,,,,,,,,,,,,Cyclone MT,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,Cyclone RC,Tumbril Land Systems,ground_vehicle,,Competition,Racing,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1,Cyclone RC,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,Cyclone RC,Tumbril Land Systems,ground_vehicle,,Competition,Racing,,,Standard,,1,,,,,,,,,,,,,,,,,Cyclone RC,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,Cyclone RC,Tumbril Land Systems,ground_vehicle,,Competition,Racing,,,Full,,1,,,,,,,,,,,,,,,,,Cyclone RC,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,Cyclone RN,Tumbril Land Systems,ground_vehicle,"scanning, exploration",Exploration,Pathfinder,,,Skeleton,,1,,,,,,,,,,,,,,,,"Crew 1-1; Tags: scanning, exploration",Cyclone RN,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,Cyclone RN,Tumbril Land Systems,ground_vehicle,"scanning, exploration",Exploration,Pathfinder,,,Standard,,1,,,,,,,,,,,,1,,,,,Cyclone RN,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,Cyclone RN,Tumbril Land Systems,ground_vehicle,"scanning, exploration",Exploration,Pathfinder,,,Full,,1,,,,,,,,,,,,1,,,,,Cyclone RN,,,,,,,,,,,,,,
,Ground: likely pilot + turret; positions preserved.,Cyclone TR,Tumbril Land Systems,ground_vehicle,,Combat,Anti-Vehicle,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 1 manned turret source hints,Cyclone TR,,,,,,,,,,,,,,
,Ground: likely pilot + turret; positions preserved.,Cyclone TR,Tumbril Land Systems,ground_vehicle,,Combat,Anti-Vehicle,,,Standard,,1,,,,,1,,,,,,,,,,,,Cyclone TR,,,,,,,,,,,,,,
,Ground: likely pilot + turret; positions preserved.,Cyclone TR,Tumbril Land Systems,ground_vehicle,,Combat,Anti-Vehicle,,,Full,,1,,,,,1,,,,,,,,,,,,Cyclone TR,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Defender,Banu,light_fighter,,Combat,Light Fighter,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1,Defender,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Defender,Banu,light_fighter,,Combat,Light Fighter,,,Standard,,1,,,,,,,,,,,,,,,,,Defender,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,Defender,Banu,light_fighter,,Combat,Light Fighter,,,Full,,1,,,,,,,,,,,,,,,,,Defender,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,Dragonfly,Drake Interplanetary,ground_vehicle,,Infiltration,Hoverbike,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1,Dragonfly,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,Dragonfly,Drake Interplanetary,ground_vehicle,,Infiltration,Hoverbike,,,Standard,,1,,,,,,,,,,,,,,,,,Dragonfly,,,,,,,,,,,,,,
,Ground: likely pilot-only; positions preserved.,Dragonfly,Drake Interplanetary,ground_vehicle,,Infiltration,Hoverbike,,,Full,,1,1,,,,,,,,,,,,,,,,Dragonfly,,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Eclipse,Aegis Dynamics,medium,"stealth, bomber",Combat,Stealth Bomber,,,Skeleton,,1,,,,,,,,,,,,,,,,"Crew 1-1; Tags: stealth, bomber","Eclipse, Eclipse",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Eclipse,Aegis Dynamics,medium,"stealth, bomber",Combat,Stealth Bomber,,,Standard,,1,,,,,,,,,,,,,,,,,"Eclipse, Eclipse",,,,,,,,,,,,,,
,Multi-crew: review preserved positions.,Eclipse,Aegis Dynamics,medium,"stealth, bomber",Combat,Stealth Bomber,,,Full,,1,,,,,,,,,,,,,,,,,"Eclipse, Eclipse",,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7A Hornet Mk I,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1,F7A Hornet Mk I,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7A Hornet Mk I,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Standard,,1,,,,,,,,,,,,,,,,,F7A Hornet Mk I,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7A Hornet Mk I,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Full,,1,,,,,,,,,,,,,,,,,F7A Hornet Mk I,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7A Hornet Mk II,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; Tags: carrier,F7A Hornet Mk II,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7A Hornet Mk II,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Standard,,1,,,,,,,,,,,,,,,,,F7A Hornet Mk II,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7A Hornet Mk II,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Full,,1,,,,,,,,,,,,,,,,,F7A Hornet Mk II,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7C Hornet Mk I,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1,F7C Hornet Mk I,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7C Hornet Mk I,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Standard,,1,,,,,,,,,,,,,,,,,F7C Hornet Mk I,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7C Hornet Mk I,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Full,,1,,,,,,,,,,,,,,,,,F7C Hornet Mk I,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7C Hornet Mk II,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; 2 SCU cargo; Tags: carrier,F7C Hornet Mk II,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7C Hornet Mk II,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Standard,,1,,,,,,,,,,,,,,,,,F7C Hornet Mk II,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7C Hornet Mk II,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Full,,1,,,,,,,,,,,,,,,,,F7C Hornet Mk II,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7C Hornet Wildfire Mk I,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1,F7C Hornet Wildfire Mk I,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7C Hornet Wildfire Mk I,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Standard,,1,,,,,,,,,,,,,,,,,F7C Hornet Wildfire Mk I,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7C Hornet Wildfire Mk I,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Full,,1,,,,,,,,,,,,,,,,,F7C Hornet Wildfire Mk I,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7C-M Hornet Heartseeker Mk I,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1,F7C-M Hornet Heartseeker Mk I,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7C-M Hornet Heartseeker Mk I,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Standard,,1,,,,1,,,,,,,,,,,,,F7C-M Hornet Heartseeker Mk I,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7C-M Hornet Heartseeker Mk I,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Full,,1,,,,1,,,,,,,,,,,,,F7C-M Hornet Heartseeker Mk I,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7C-M Hornet Heartseeker Mk II,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 2-2,F7C-M Hornet Heartseeker Mk II,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7C-M Hornet Heartseeker Mk II,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Standard,,1,,,,1,,,,,,,,,,,,,F7C-M Hornet Heartseeker Mk II,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7C-M Hornet Heartseeker Mk II,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Full,,1,,,,1,,,,,,,,,,,,,F7C-M Hornet Heartseeker Mk II,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7C-M Super Hornet Mk I,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1,F7C-M Super Hornet Mk I,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7C-M Super Hornet Mk I,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Standard,,1,,,,1,,,,,,,,,,,,,F7C-M Super Hornet Mk I,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7C-M Super Hornet Mk I,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Full,,1,,,,1,,,,,,,,,,,,,F7C-M Super Hornet Mk I,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7C-M Super Hornet Mk II,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 2-2,F7C-M Super Hornet Mk II,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7C-M Super Hornet Mk II,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Standard,,1,,,,1,,,,,,,,,,,,,F7C-M Super Hornet Mk II,,,,,,,,,,,,,,
,Fighter: likely pilot-only; positions preserved.,F7C-M Super Hornet Mk II,Anvil Aerospace,medium_fighter,,Combat,Medium Fighter,,,Full,,1,,,,1,,,,,,,,,,,,,F7C-M Super Hornet Mk II,,,,,,,,,,,,,,
,Small: verify added positions.,F7C-R Hornet Tracker Mk I,Anvil Aerospace,small,exploration,Exploration,Pathfinder,,,Skeleton,,1,,,,,,,,,,,,,,,,Crew 1-1; Tags: exploration,F7C-R Hornet Tracker Mk I,,,,,,,,,,,,,,
,Small: verify added positions.,F7C-R Hornet Tracker Mk I,Anvil Aerospace,small,exploration,Exploration,Pathfinder,,,Standard,,1,,,,,,,,,,,,,,,,,F7C-R Hornet Tracker Mk I,,,,,,,,,,,,,,
